fid,season,playerid,g,pr,pryds,prtd,kr,kryds,krtd
1,1961,MESTFRA001,13,,,,2,27,0
1,1961,LEEAMON001,12,,,,1,12,0
1,1961,HAMMMAL001,7,,,,1,8,0
1,1960,STACBIL001,11,14,62,0,6,146,0
1,1960,CONRBOB001,12,8,86,0,12,338,0
1,1960,WESTWIL001,7,5,58,0,13,370,0
1,1960,WILSLAR001,11,3,26,0,6,115,0
1,1960,MESTFRA001,9,,,,3,39,0
1,1960,HAMMMAL001,9,,,,2,23,0
1,1960,MEMMDAL001,12,,,,1,8,0
1,1960,BATETED001,12,,,,1,6,0
1,1960,DRISJOE001,6,,,,1,0,0
1,1959,STACBIL001,12,29,281,2,12,280,0
1,1959,CONRBOB001,12,16,133,1,18,388,0
1,1959,HALLKEN001,12,3,91,1,6,99,0
1,1959,RICHPER001,4,3,22,0,,,
1,1959,NORTJER001,12,3,4,0,3,70,0
1,1959,HILLJIM003,12,1,0,0,,,
1,1959,SUGALEO001,12,1,0,0,,,
1,1959,HAMMMAL001,12,0,17,1,1,0,0
1,1959,CROWJOH001,12,,,,5,185,0
1,1959,RANDSON001,8,,,,2,33,0
1,1959,TRACJOH001,8,,,,1,14,0
1,1959,GRAYKEN001,12,,,,1,11,0
1,1959,CROSBOB001,11,,,,1,0,0
1,1959,PANFKEN001,12,,,,1,0,0
1,1959,PATEJAC001,12,,,,1,0,0
1,1958,CONRBOB001,12,19,129,0,1,33,0
1,1958,SEARJIM001,12,14,94,0,32,756,0
1,1958,LEWIWOO001,12,2,12,0,2,46,0
1,1958,JACKCHA004,10,2,10,0,,,
1,1958,GORDBOB001,12,1,12,0,,,
1,1958,NOLADIC001,12,1,2,0,,,
1,1958,MATSOLL001,12,,,,14,497,2
1,1958,CROWJOH001,7,,,,6,145,0
1,1958,PHILDEA001,9,,,,3,18,0
1,1958,WATKBOB001,5,,,,1,24,0
1,1958,TUBBJER001,7,,,,1,11,0
1,1958,WEBECHU001,10,,,,1,2,0
1,1957,LEWIWOO001,12,24,175,0,26,682,0
1,1957,MATSOLL001,12,10,54,0,7,154,0
1,1957,BERNFRA001,12,2,12,0,,,
1,1957,HILLJIM003,10,1,9,0,,,
1,1957,LANENIG001,8,1,8,0,,,
1,1957,SEARJIM001,12,1,0,0,8,220,0
1,1957,MANNDAV001,12,1,0,0,1,23,0
1,1957,CARRJIM002,6,,,,2,39,0
1,1957,HAMMMAL001,12,,,,2,33,0
1,1957,SUMMPAT001,12,,,,1,3,0
1,1957,OLSZJOH001,11,,,,0,13,0
1,1956,BERNFRA001,12,18,217,1,4,101,0
1,1956,MATSOLL001,12,5,39,0,13,362,1
1,1956,LEWIWOO001,12,5,22,0,1,22,0
