fid,season,playerid,g,fgm,fga,patm,pata,pt,ptyds
1,1940,MCCUHUG001,11,,1,1,3,30,1215
1,1940,PARKBUD001,10,,1,3,3,,
1,1940,KUHAJOE001,11,,1,,,,
1,1940,CLARBER002,9,,,3,3,28,914
1,1940,POPOMIL001,10,,,,,5,209
1,1940,KELLBOB002,3,,,,,2,54
1,1940,TONEMAR001,9,,,,,1,15
1,1940,JOHNBER001,10,,,,,1,19
1,1940,GOLDMAR001,11,,,,,1,47
1,1939,SMITBIL001,11,2,8,6,8,1,36
1,1939,FAUSGEO001,9,,1,1,1,25,1101
1,1939,MONAREG001,2,1,1,1,1,,
1,1939,PATRFRA001,8,,,1,1,16,637
1,1939,POPOMIL001,10,,,,,27,1000
1,1939,JOHNBER001,9,,,,,14,511
1,1939,LAWRJIM001,1,,,,,3,115
1,1939,ROBBJAC001,8,,,,,2,83
1,1939,MCDOCOL001,4,,,,,1,43
1,1938,PATRFRA001,7,1,4,8,8,,
1,1938,SMITBIL001,11,2,2,4,5,,
1,1938,MAYABIL001,1,,1,,2,,
1,1938,BAKECON001,11,,1,,,,
2,2018,TAVEGIO001,3,5,5,8,8,,
2,2018,BRYAMAT001,13,20,21,33,35,,
2,2018,BOSHMAT001,16,,,,,60,2729
2,2017,BRYAMAT001,16,34,39,35,35,,
2,2017,BOSHMAT001,16,,,,,53,2379
2,2016,BRYAMAT001,16,34,37,56,57,2,67
2,2016,BOSHMAT001,15,,,,,44,2060
2,2016,WILEMAT001,1,,,,,2,116
2,2015,BRYAMAT001,11,14,18,26,26,,
2,2015,GRAHSHA001,5,11,13,8,8,,
2,2015,BOSHMAT001,16,,,,,58,2735
2,2014,BRYAMAT001,16,29,32,40,40,,
2,2014,BOSHMAT001,16,,,,,67,3063
2,2013,BRYAMAT001,16,24,27,39,39,,
2,2013,BOSHMAT001,16,,,,,68,3166
2,2012,BRYAMAT001,16,33,38,44,44,,
2,2012,BOSHMAT001,16,,,,,60,2847
2,2011,BRYAMAT001,16,27,29,45,45,,
2,2011,BOSHMAT001,16,,,,,70,2990
2,2010,BRYAMAT001,16,28,31,44,44,,
2,2010,KOENMIC001,16,,,,,74,3014
2,2009,ELAMJAS001,11,12,19,32,33,,
2,2009,BRYAMAT001,5,7,10,10,10,1,36
2,2009,KOENMIC001,16,,,,,61,2598
2,2008,ELAMJAS001,16,29,31,42,42,,
2,2008,KOENMIC001,16,,,,,63,2566
2,2007,ANDEMOR001,14,25,28,24,24,,
2,2007,PRATMAT001,2,1,4,1,1,,
2,2007,KOENMIC001,16,,2,,,88,3824
2,2006,ANDEMOR001,14,20,23,27,27,,
2,2006,KOENMIC001,16,3,9,4,4,76,3199
2,2005,PETETOD001,16,23,25,35,35,,
2,2005,KOENMIC001,16,1,2,,,78,3300
2,2004,FEELJAY001,16,18,23,40,40,,
2,2004,MOHRCHR001,16,,,,,76,3082
2,2003,FEELJAY001,16,19,27,32,33,,
2,2003,MOHRCHR001,16,,,,,87,3473
2,2002,FEELJAY001,16,32,40,42,43,,
2,2002,MOHRCHR001,16,,,,,67,2804
2,2001,FEELJAY001,16,29,37,28,28,,
2,2001,MOHRCHR001,16,,,,,69,2680
2,2000,ANDEMOR001,16,25,31,23,23,,
2,2000,STRYDAN001,16,,,,,84,3447
2,1999,ANDEMOR001,16,15,21,34,34,,
2,1999,STRYDAN001,16,,,,,80,3163
2,1998,ANDEMOR001,16,23,28,51,52,,
2,1998,STRYDAN001,16,,,,,74,2963
2,1997,ANDEMOR001,16,23,27,35,35,,
2,1997,STRYDAN001,16,,,,,89,3498
2,1996,ANDEMOR001,16,22,29,31,31,,
2,1996,STRYDAN001,16,,,,,75,3152
2,1995,ANDEMOR001,16,31,37,29,30,,
2,1995,ZENDTON001,1,2,3,,,,
2,1995,STRYDAN001,16,,,,,67,2759
2,1994,JOHNNOR001,16,21,25,32,32,,
2,1994,ALEXHAR001,15,,,,,71,2836
2,1994,TYNESCO001,6,,,,,8,285
2,1993,JOHNNOR001,15,26,27,34,34,,
2,1993,ALEXHAR001,16,,,,,72,3114
2,1992,JOHNNOR001,16,18,22,39,39,1,37
2,1992,FULHSCO001,16,,,,,68,2818
2,1991,JOHNNOR001,14,19,23,38,39,1,21
2,1991,DALUBRA001,2,2,3,2,2,,
2,1991,FULHSCO001,16,,,,,81,3470
2,1990,DAVIGRE001,16,22,33,40,40,,
2,1990,FULHSCO001,16,,,,,70,2913
2,1989,MCFAPAU001,9,15,20,18,18,,
2,1989,DAVIGRE001,6,7,11,12,12,,
2,1989,MILLCHR001,15,1,1,,,,
2,1989,FULHSCO001,16,,,,,84,3472
2,1988,DAVIGRE001,16,19,30,25,27,,
2,1988,DONNRIC002,16,,,,,98,3920
2,1987,LUCKMIC001,12,9,13,17,17,1,37
2,1987,DAVIGRE001,3,3,4,6,6,6,191
2,1987,DONNRIC002,12,,,,,61,2686
2,1987,BERRLOU001,2,,,,,7,258
2,1987,STARJOH001,1,,,,,6,203
2,1986,LUCKMIC001,10,14,24,21,21,,
2,1986,HAJIALI001,6,9,12,7,8,,
2,1986,DONNRIC002,16,,,1,1,78,3421
2,1985,LUCKMIC001,16,24,31,29,29,1,26
2,1985,BRYARIC001,16,,,1,1,,
2,1985,DONNRIC002,11,,,,,59,2574
2,1985,GIACRAL001,5,,,,,29,1157
2,1984,LUCKMIC001,16,20,27,31,31,,
2,1984,GIACRAL001,16,,,,,68,2855
2,1983,LUCKMIC001,16,17,22,43,45,,
2,1983,GIACRAL001,16,,,,,70,2823
2,1982,LUCKMIC001,9,10,14,21,22,,
2,1982,SMIGDAV001,6,,,,,26,1000
2,1982,ROBEGEO001,3,,,,,17,690
2,1981,LUCKMIC001,16,21,33,51,51,,
2,1981,JAMEJOH001,16,,,,,87,3543
2,1980,MAZZTIM001,16,19,27,46,49,,
2,1980,JAMEJOH001,16,,,,,79,3087
2,1979,MAZZTIM001,16,13,25,31,37,,
2,1979,JAMEJOH001,16,,,,,83,3296
2,1978,MAZZTIM001,10,13,16,18,18,,
2,1978,STEIFRE001,6,3,10,8,9,,
2,1978,JAMEJOH001,16,,,,,109,4227
2,1977,MIKENIC001,7,7,19,7,7,1,23
2,1977,STEIFRE001,7,6,11,13,13,,
2,1977,JAMEJOH001,14,,,,,105,4349
2,1976,MIKENIC001,14,10,21,20,20,,
2,1976,JAMEJOH001,14,,,,,101,4253
2,1975,MIKENIC001,14,4,10,30,33,,
2,1975,JAMEJOH001,14,,,,,89,3696
2,1974,MIKENIC001,14,9,16,12,12,,
2,1974,JAMEJOH001,14,,,,,96,3891
2,1973,MIKENIC001,14,26,38,34,34,,
2,1973,JAMEJOH001,14,,,,,63,2682
2,1972,BELLBIL001,14,16,30,31,31,,
2,1972,JAMEJOH001,14,,,,,61,2609
2,1971,BELLBIL001,14,13,21,29,33,16,577
2,1971,LOTHBIL001,9,,,,,44,1639
2,1970,VINYKEN001,14,9,25,23,26,,
2,1970,LOTHBIL001,14,,,,,76,2944
2,1969,ETTEBOB001,14,15,30,33,33,,
2,1969,LOTHBIL001,14,,,,,69,2846
2,1968,ETTEBOB001,14,11,21,17,19,,
2,1968,LOTHBIL001,14,,,,,75,3324
2,1967,TRAYWAD001,14,7,18,22,22,,
2,1967,LOTHBIL001,14,,,,,87,3801
2,1966,KIROLOU001,14,9,18,19,24,,
2,1966,TRAYWAD001,2,,1,2,2,,
2,1966,LOTHBIL001,14,,,,,73,2968
3,2018,TUCKJUS002,16,35,39,36,37,,
3,2018,KOCHSAM001,16,,,,,60,2842
3,2017,TUCKJUS002,16,34,37,39,39,,
3,2017,KOCHSAM001,16,,,,,84,3765
3,2016,TUCKJUS002,16,38,39,27,27,,
3,2016,KOCHSAM001,16,,,,,80,3665
3,2015,TUCKJUS002,16,33,40,29,29,,
3,2015,KOCHSAM001,16,,,,,74,3454
3,2014,TUCKJUS002,16,29,34,42,42,,
3,2014,KOCHSAM001,16,,,,,60,2841
3,2013,TUCKJUS002,16,38,41,26,26,,
3,2013,KOCHSAM001,16,,,,,90,4138
3,2012,TUCKJUS002,16,30,33,42,42,,
3,2012,KOCHSAM001,16,,,,,83,3911
3,2011,CUNDBIL001,15,28,37,38,38,,
3,2011,GRAHSHA001,1,2,2,2,2,,
3,2011,KOCHSAM001,16,,,,,73,3393
3,2010,CUNDBIL001,16,26,29,39,39,,
3,2010,KOCHSAM001,16,,,,,81,3530
3,2009,CUNDBIL001,7,12,17,19,19,,
3,2009,HAUSSTE001,9,9,13,27,28,,
3,2009,KOCHSAM001,16,,,,,73,3188
3,2008,STOVMAT001,16,27,33,41,41,,
3,2008,HAUSSTE001,8,1,2,,,,
3,2008,KOCHSAM001,16,,,,,84,3777
3,2007,STOVMAT001,16,27,32,26,26,,
3,2007,KOCHSAM001,16,,,,,78,3397
3,2006,STOVMAT001,16,28,30,37,37,,
3,2006,KOCHSAM001,16,,,,,86,3695
3,2005,STOVMAT001,16,30,34,23,23,,
3,2005,ELLIAAR001,9,,1,,,1,32
3,2005,ZASTDAV001,16,,,,,84,3653
3,2004,STOVMAT001,16,29,32,30,30,1,33
3,2004,ZASTDAV001,13,,,,,73,2948
3,2004,MURPNIC001,3,,,,,18,777
3,2004,STEWKOR001,2,,,,,5,177
3,2003,STOVMAT001,16,33,38,35,35,1,34
3,2003,RICHWAD001,15,1,2,,,,
3,2003,ZASTDAV001,16,,,,,89,3649
3,2003,BOLLKYL001,11,,,,,1,29
3,2002,STOVMAT001,15,21,25,33,33,1,33
3,2002,JENKJRA001,7,,1,,,,
3,2002,ZASTDAV001,16,,,,,81,3368
3,2001,STOVMAT001,16,30,35,25,25,,
3,2001,RICHKYL001,16,,,,,85,3309
3,2000,STOVMAT001,16,35,39,30,30,,
3,2000,RICHKYL001,16,,,,,86,3457
3,1999,STOVMAT001,16,28,33,32,32,,
3,1999,RICHKYL001,16,,,,,103,4355
3,1998,STOVMAT001,16,21,28,24,24,,
3,1998,RICHKYL001,16,,,,,90,3948
3,1997,STOVMAT001,16,26,34,32,32,,
3,1997,MONTGRE001,16,,,,,83,3540
3,1996,STOVMAT001,16,19,25,34,35,,
3,1996,MONTGRE001,16,,,,,68,2980
4,2018,HAUSSTE001,16,22,28,25,26,,
4,2018,BOJOCOR001,8,,,,,45,2028
4,2018,DARRMAT001,5,,,,,20,809
4,2018,SCHMCOL001,3,,,,,16,676
4,2017,HAUSSTE001,16,29,33,29,29,,
4,2017,SCHMCOL001,16,,,,,79,3529
4,2016,CARPDAN001,16,19,25,40,45,,
4,2016,SCHMCOL001,16,,,,,75,3183
4,2015,CARPDAN001,16,23,27,34,40,,
4,2015,SCHMCOL001,16,,,,,82,3802
4,2014,CARPDAN001,16,34,38,31,32,,
4,2014,SCHMCOL001,16,,,,,86,3692
4,2013,CARPDAN001,16,33,36,32,32,,
4,2013,MOORBRI001,11,,,,,61,2511
4,2013,POWESHA001,5,,,,,35,1613
4,2012,LINDRIA001,16,21,24,39,39,,
4,2012,POWESHA001,13,,,,,65,2860
4,2012,MOORBRI001,3,,,,,15,682
4,2011,LINDRIA001,8,13,15,25,25,,
4,2011,RAYNDAV001,7,10,15,13,13,,
4,2011,COUTBRA001,1,,1,3,3,,
4,2011,MOORBRI001,16,,,,,72,3472
4,2010,LINDRIA001,16,16,21,31,32,,
4,2010,MOORBRI001,16,,,,,75,3181
4,2009,LINDRIA001,16,28,33,24,24,,
4,2009,MOORBRI001,16,,,,,90,4192
4,2008,LINDRIA001,16,30,38,34,34,,
4,2008,MOORBRI001,16,,,,,58,2557
4,2007,LINDRIA001,16,24,27,24,24,,
4,2007,MOORBRI001,16,,,,,81,3302
4,2006,LINDRIA001,16,23,25,33,33,,
4,2006,MOORBRI001,16,,,,,92,4012
4,2005,LINDRIA001,16,29,35,26,26,,
4,2005,MOORBRI001,16,,,,,71,3242
4,2004,LINDRIA001,16,24,28,45,45,1,37
4,2004,MOORBRI001,16,,,,,77,3325
4,2003,LINDRIA001,16,17,24,24,24,,
4,2003,MOORBRI001,16,,,,,85,3788
4,2002,HOLLMIK001,16,25,33,40,40,,
4,2002,MOORBRI001,16,,,,,66,2844
4,2001,ARIAJAK001,10,12,21,16,17,,
4,2001,GRAHSHA001,6,6,8,7,7,,
4,2001,MOORBRI001,16,,,,,80,3262
4,2000,CHRISTE001,16,26,35,31,31,,
4,2000,MOHRCHR001,16,,,,,95,3661
4,1999,CHRISTE001,16,25,34,33,33,,
4,1999,MOHRCHR001,16,,,,,73,2840
4,1998,CHRISTE001,16,33,41,41,41,,
4,1998,MOHRCHR001,16,,,,,69,2882
4,1997,CHRISTE001,16,24,30,21,21,,
4,1997,MOHRCHR001,16,,,,,90,3764
4,1996,CHRISTE001,16,24,29,33,33,,
4,1996,MOHRCHR001,16,,,,,101,4194
4,1995,CHRISTE001,16,31,40,33,35,,
4,1995,MOHRCHR001,16,,,,,86,3473
4,1994,CHRISTE001,16,24,28,38,38,,
4,1994,MOHRCHR001,16,,,,,67,2799
4,1993,CHRISTE001,16,23,32,36,37,,
4,1993,MOHRCHR001,16,,,,,74,2991
4,1992,CHRISTE001,16,24,30,43,44,,
4,1992,MOHRCHR001,15,,,,,60,2531
4,1991,NORWSCO001,16,18,29,56,58,,
4,1991,MOHRCHR001,16,,,,,54,2085
4,1990,NORWSCO001,16,20,29,50,52,,
4,1990,TUTERIC001,14,,,,,53,2107
4,1990,NIESJOH001,4,,,,,5,174
4,1989,NORWSCO001,16,23,30,46,47,,
4,1989,KIDDJOH001,16,,,,,65,2564
4,1988,NORWSCO001,16,32,37,33,33,,
4,1988,KIDDJOH001,16,,,,,62,2451
4,1987,NORWSCO001,12,10,15,31,31,,
4,1987,SCHLTOD001,3,2,5,1,2,,
4,1987,KIDDJOH001,12,,,,,64,2495
4,1987,PARTRIC001,3,,,,,18,678
4,1986,NORWSCO001,16,17,27,32,34,,
4,1986,KIDDJOH001,16,,,,,75,3031
4,1985,NORWSCO001,16,13,17,23,23,,
4,1985,KIDDJOH001,16,,,,,92,3818
4,1984,DANEJOE001,9,8,16,17,17,,
4,1984,NELSCHU001,7,3,5,14,14,,
4,1984,KIDDJOH001,16,,,,,88,3696
4,1983,DANEJOE001,14,10,20,33,35,,
4,1983,STEIFRE001,2,1,6,1,1,,
4,1983,CATEGRE001,16,,,,,89,3533
4,1982,HERREFR001,7,8,14,11,12,,
4,1982,MIKENIC001,2,1,4,4,5,,
4,1982,CATEGRE001,9,,,,,35,1328
4,1981,MIKENIC001,16,14,24,37,37,,
4,1981,CATEGRE001,16,,,,,80,3175
4,1980,MIKENIC001,16,13,23,37,39,,
4,1980,CATEGRE001,16,,,,,73,2828
4,1979,MIKENIC001,13,20,29,17,18,,
4,1979,DEMPTOM001,3,1,4,8,11,,
4,1979,JACKRUS001,16,,,,,96,3671
4,1978,DEMPTOM001,16,10,13,36,38,,
4,1978,JACKRUS001,16,,,,,87,3373
4,1977,LONGCAR001,9,7,11,13,14,,
4,1977,ODONNEI002,5,2,6,4,5,,
4,1977,BATEMAR001,14,,,,,81,3229
4,1976,JAKOGEO001,11,12,17,21,24,,
4,1976,RICABEN001,2,1,4,2,2,,
4,1976,LEYPJOH001,1,,3,3,3,,
4,1976,BATEMAR001,14,,,,,86,3678
